eid,sta,dis,azm,pha,wet,ptt,res,ort,lat,lon,dep,mag,gap,rms,nst,erh,erz
0,ZANG,7.413,127.852,PG,0,2.850,0.160,,,,,,,,,,
0,ZANG,7.413,127.852,SG,0,4.530,-0.120,,,,,,,,,,
0,HIGH,12.360,63.854,PG,0,3.340,0.140,,,,,,,,,,
0,HIGH,12.360,63.854,SG,0,5.480,-0.050,,,,,,,,,,
0,BLVR,15.342,338.977,PG,0,3.790,-0.030,,,,,,,,,,
0,BLVR,15.342,338.977,SG,0,6.670,0.040,,,,,,,,,,
0,NMVR,15.933,308.363,PG,0,3.710,-0.060,,,,,,,,,,
0,NMVR,15.933,308.363,SG,0,6.580,0.060,,,,,,,,,,
0,VRDN,16.955,250.552,PG,0,3.880,0.040,,,,,,,,,,
0,VRDN,16.955,250.552,SG,0,6.640,-0.000,,,,,,,,,,
0,SRND,18.550,61.730,PG,0,4.280,0.180,,,,,,,,,,
0,SRND,18.550,61.730,SG,0,7.060,-0.040,,,,,,,,,,
0,AZGN,20.574,220.518,PG,0,4.330,0.040,,,,,,,,,,
0,AZGN,20.574,220.518,SG,0,7.420,-0.010,,,,,,,,,,
0,MGSL,23.552,304.185,PG,0,4.780,-0.120,,,,,,,,,,
0,MGSL,23.552,304.185,PG,0,4.790,-0.110,,,,,,,,,,
0,FRMZ,26.006,123.922,PG,0,5.200,-0.040,,,,,,,,,,
0,FRMZ,26.006,123.922,SG,0,9.110,0.010,,,,,,,,,,
0,KRNG,27.916,258.397,PG,0,5.410,0.000,,,,,,,,,,
0,KRNG,27.916,258.397,SG,0,9.380,0.000,,,,,,,,,,
0,GOLJ,33.015,93.932,PG,0,6.210,-0.030,,,,,,,,,,
0,GOLJ,33.015,93.932,SG,0,10.760,-0.070,,,,,,,,,,
0,GRVN,36.424,293.268,PG,4,-1.670,-8.520,,,,,,,,,,
0,,,,,,,,2012-08-14T12:10:18.800000Z,38.389,46.797,11.900,2.300,92.000,0.100,12.000,,1.200
1,ZANG,4.406,123.643,PG,0,2.330,-0.060,,,,,,,,,,
1,ZANG,4.406,123.643,SG,0,4.160,-0.020,,,,,,,,,,
1,HIGH,11.680,49.708,PG,0,2.980,-0.050,,,,,,,,,,
1,HIGH,11.680,49.708,SG,0,5.320,0.020,,,,,,,,,,
1,SRND,17.856,52.415,PG,0,3.910,-0.010,,,,,,,,,,
1,SRND,17.856,52.415,SG,0,6.960,0.110,,,,,,,,,,
1,BLVR,18.141,334.932,PG,0,4.110,-0.000,,,,,,,,,,
1,BLVR,18.141,334.932,SG,0,7.120,-0.070,,,,,,,,,,
1,VRDN,18.508,258.999,PG,0,3.950,-0.010,,,,,,,,,,
1,VRDN,18.508,258.999,SG,0,7.010,0.100,,,,,,,,,,
1,NMVR,18.957,309.280,PG,0,4.090,0.000,,,,,,,,,,
1,NMVR,18.957,309.280,SG,0,7.080,-0.060,,,,,,,,,,
1,AZGN,20.609,228.973,PG,0,4.140,-0.060,,,,,,,,,,
1,AZGN,20.609,228.973,SG,0,7.280,-0.050,,,,,,,,,,
1,FRMZ,23.021,122.618,PG,0,4.680,-0.040,,,,,,,,,,
1,FRMZ,23.021,122.618,SG,0,8.330,0.090,,,,,,,,,,
1,MGSL,26.547,305.318,PG,0,5.210,-0.040,,,,,,,,,,
1,MGSL,26.547,305.318,SG,0,9.270,0.100,,,,,,,,,,
1,KRNG,29.729,263.243,PG,0,5.600,0.010,,,,,,,,,,
1,KRNG,29.729,263.243,SG,0,9.830,0.070,,,,,,,,,,
1,GOLJ,30.745,90.304,PG,0,5.790,-0.020,,,,,,,,,,
1,GRVN,39.274,294.854,PG,4,-1.230,-8.440,,,,,,,,,,
1,,,,,,,,2012-08-14T12:22:56.500000Z,38.408,46.772,11.800,2.400,105.000,0.100,12.000,,1.000
2,ZANG,0.141,141.811,PG,0,2.090,-0.080,,,,,,,,,,
2,ZANG,0.141,141.811,SG,0,3.680,-0.100,,,,,,,,,,
2,HIGH,11.225,28.327,PG,0,2.890,-0.040,,,,,,,,,,
