code,lat,lon,elv
ARAB,35.7787,52.1440,2495
MOSH,35.8100,51.9842,2620
ZARD,35.6627,51.8670,1475
LASM,35.8107,52.2057,2645
ZIAR,35.8395,52.1038,2480
LARE,35.8848,52.0188,2575
RAIN,35.8978,52.1710,2480
LATI,35.7832,51.6783,1620
ARDI,35.8040,51.8882,2280
AMAM,35.8987,51.5797,2220
BAND,35.5577,52.0945,2530
OCHO,35.5672,52.2345,1780
GHOL,35.5640,52.3725,1970
JOUZ,35.7658,51.7998,1995
ASBD,35.7187,52.0190,2230
MAML,35.5870,51.7830,1335
KHOJ,35.6627,51.7280,1400
HARE,35.9080,52.3087,2020
BEHV,35.4892,51.9658,1460
TANG,35.4908,52.0498,1600
KOMA,35.7202,51.7915,1675
BARG,35.8330,51.7245,1950
SADA,35.5685,52.2330,1850
ham,35.5102,51.7858,1195
HAM,35.5102,51.7858,1195
bas,35.9220,51.7333,2690
gho,35.8805,51.8692,2580
grm,35.9847,51.6453,2510
rot,35.9645,51.5420,2240
var,35.4712,52.1972,1495
dar,35.6333,52.7595,2150
kat,35.8525,52.8397,2245
kab,35.4263,52.4297,1270
sia,35.7737,52.8303,2040
CHR,35.6997,52.1083,2200
RUD,35.7297,51.9120,1900
nam,35.1978,52.1047,990
nad,35.2992,51.9880,960
bon,35.2908,52.4172,1005
rah,35.2650,52.2908,895
kor,35.3913,52.1412,1250
laj,35.1862,52.3253,815
der,35.2395,52.1628,995
hos,35.3683,52.0088,1080
dav,35.2120,52.5013,865
BAS,35.9220,51.7333,2690
GHO,35.8805,51.8692,2580
GRM,35.9847,51.6453,2510
ROT,35.9645,51.5420,2240
VAR,35.4712,52.1972,1495
DAR,35.6333,52.7595,2150
KAT,35.8525,52.8397,2245
KAB,35.4263,52.4297,1270
SIA,35.7737,52.8303,2040
rud,35.7297,51.9120,1900
NAM,35.1978,52.1047,990
NAD,35.2992,51.9880,960
BON,35.2908,52.4172,1005
RAH,35.2650,52.2908,895
KOR,35.3913,52.1412,1250
LAJ,35.1862,52.3253,815
DER,35.2395,52.1628,995
HOS,35.3683,52.0088,1080
DAV,35.2120,52.5013,865
HAVI,35.7148,52.3190,2520
KOHA,35.6897,52.4900,2180
SALM,35.7363,52.5692,2190
VAZN,35.7995,52.3168,2760
LAZO,35.8700,52.5665,2370
ANZH,35.5947,52.6305,1640
SIMI,35.5273,52.4970,1520
KLAK,35.6170,52.4310,1870
ABSD,35.4692,52.3515,2040
HARA,35.7058,52.6790,1830
BADR,35.8342,52.6987,2165
KHOS,35.6610,52.2272,2290
DAMV,35.6302,51.9708,2300
ANDR,35.7848,52.4552,2190
102,35.4833,51.3877,983
105,35.8115,51.1752,1864
001,35.6373,51.3697,1100
002,35.5173,51.3123,1010
003,35.6033,51.1307,1090
004,35.6448,51.1285,1125
005,35.7515,51.1438,1285
006,35.8232,51.2645,1692
007,35.8088,51.3925,1820
008,35.8253,51.4640,1851
009,35.8087,51.5535,1960
010,35.7655,51.5967,1676
011,35.5237,51.6433,1039
012,35.4598,51.5195,967
013,35.7250,51.3395,1274
109,35.8192,51.5270,2110
015,35.5815,51.6955,1398
014,35.6948,51.5963,1666
016,35.5717,51.5965,1231
017,35.5895,51.4815,1079
018,35.7238,51.2150,1312
019,35.5825,51.7845,1307
020,35.7878,51.6802,1572
021,35.7177,51.5235,1344
106,35.8232,51.2645,1692
113,35.7255,51.3380,1271
AHWZ,31.3300,48.6438,19
CHMN,29.8608,57.5397,2662
GENO,27.4000,56.1723,1616
AFJ,35.8560,51.7125,2761
AKL,36.5947,58.7542,2507
ALA,36.0830,52.8098,2558
ANJ,35.4678,53.9147,1845
AZR,37.6772,45.9828,2270
BAF,31.5900,55.5670,1414
BNB,27.4488,56.5398,62
BND,27.4488,56.5398,62
BRJ,31.9077,51.2633,2380
BST,37.7003,46.8888,2110
BZA,34.4697,47.8605,2328
CHK,32.2438,54.4078,1533
DAH,32.7387,59.8677,2328
DHR,34.6992,46.3890,1811
DMV,35.5772,52.0322,2498
DOB,33.7873,48.1773,1935
EMG,37.4080,58.6512,2539
FIR,35.6415,52.7537,2374
FTB,38.0172,46.3943,1663
GAR,32.4063,52.0473,1910
GHG,34.3293,46.5683,2061
GLO,36.5027,53.8302,1930
GZV,36.3858,50.2183,2451
HRS,38.3173,47.0433,2112
HSB,35.4378,51.2757,1119
HSH,37.3053,47.2637,2142
KAZ,29.7822,51.8398,2803
KFM,33.5243,47.8468,1653
KIA,36.2070,53.6837,2153
KLH,33.3190,51.5787,2157
KMR,33.5178,48.3803,1712
KOM,34.1762,47.5143,1714
KOO,32.4242,59.0043,1928
KRD,36.7760,59.5147,2245
LAS,35.3802,52.9595,1449
LIN,34.9187,46.9627,2139
MEH,31.3902,54.6130,1983
MHD,35.6852,50.6673,1659
MND,37.2368,55.3887,220
MOG,36.1080,59.3392,2575
MOK,29.0462,52.7147,2755
MON,33.1922,59.6667,2366
MRD,38.7133,45.7030,2150
MYA,36.3417,60.1017,1671
PAR,29.8403,53.0482,2576
PAY,36.4542,58.9903,2014
PIR,32.6842,50.8917,2550
PRN,36.2418,52.3382,1304
QHU,37.0705,58.5368,1335
QOM,34.8417,51.0627,1000
IL3,35.4762,51.0238,990
RAM,31.7983,52.3827,2198
RAZ,35.4043,49.9292,1940
SAD,31.9133,53.6853,2461
SFB,34.3508,52.2463,975
SFR,37.0437,58.0022,2223
SHB,38.2833,45.6167,2298
SHM,35.8063,53.2842,2633
SHV,37.5333,57.6960,1909
SRB,37.8230,47.6680,2020
SRO,36.3090,59.4707,1068
SRV,29.3817,53.1133,2625
TBB,34.9953,51.7275,1138
TBZ,38.2348,46.1498,1583
TEG,32.8967,58.7488,1713
VIS,34.5275,46.8512,1828
VRN,34.9953,51.7275,1138
ZEF,32.8957,52.3292,2321
