iteration,backup,event,origin_time_change,dx,dy,dz,change_type,applied
1,0,1,-0.581,-0.103,-0.571,0.894,iteration,True
1,0,2,-0.524,-0.325,0.312,0.675,iteration,True
1,0,3,-0.525,-0.131,-0.184,1.083,iteration,True
1,0,4,-0.506,-0.547,0.388,1.114,iteration,True
1,0,5,-0.517,0.28,-0.345,1.233,iteration,True
1,0,6,-0.629,0.009,0.014,1.303,iteration,True
1,0,7,-0.447,0.085,0.467,0.467,iteration,True
1,0,8,-0.608,0.118,0.211,2.0,iteration,True
1,0,9,-0.467,0.651,-0.144,0.719,iteration,True
1,0,10,-0.504,0.373,0.209,0.794,iteration,True
1,0,11,-0.555,0.453,0.191,0.775,iteration,True
1,0,12,-0.636,-0.321,-0.445,1.396,iteration,True
1,0,13,-0.432,-0.586,0.448,0.838,iteration,True
1,0,14,-0.604,-0.542,0.032,1.574,iteration,True
1,0,15,-0.541,-0.036,0.279,1.191,iteration,True
1,0,16,-0.55,0.015,-0.087,0.692,iteration,True
1,0,17,-0.547,0.364,0.081,1.367,iteration,True
1,0,18,-0.547,0.654,-0.515,1.636,iteration,True
1,0,19,-0.482,-0.163,0.443,0.803,iteration,True
1,0,20,-0.561,0.285,0.191,1.478,iteration,True
1,0,21,-0.48,-0.157,-0.322,1.416,iteration,True
1,0,22,-0.701,-0.074,-0.741,2.0,iteration,True
1,0,23,-0.587,-0.156,0.109,2.0,iteration,True
1,0,24,-0.598,0.375,-0.445,1.957,iteration,True
1,0,25,-0.52,0.161,-0.267,1.02,iteration,True
1,0,26,-0.581,0.186,-0.72,1.564,iteration,True
1,0,27,-0.68,-0.088,-0.577,2.0,iteration,True
1,0,28,-0.431,-0.638,0.043,2.0,iteration,True
1,0,29,-0.639,0.223,-0.204,2.0,iteration,True
1,0,30,-0.621,-0.247,-0.505,2.0,iteration,True
1,0,31,-0.577,-0.487,0.298,2.0,iteration,True
1,0,32,-0.577,-0.372,0.008,2.0,iteration,True
1,0,33,-0.599,-0.227,0.067,2.0,iteration,True
1,0,34,-0.563,-0.566,0.27,1.627,iteration,True
1,0,35,-0.68,-0.748,-0.397,2.0,iteration,True
1,0,36,-0.641,-0.038,0.551,2.0,iteration,True
1,0,37,-0.48,0.257,-0.022,0.859,iteration,True
1,0,38,-0.355,0.433,0.164,1.22,iteration,True
1,0,39,-0.544,-0.098,0.209,1.143,iteration,True
1,0,40,-0.539,-0.248,0.145,1.779,iteration,True
1,0,41,-0.481,-0.283,0.24,1.037,iteration,True
2,0,1,0.056,0.162,-0.14,-0.155,iteration,True
2,0,2,0.057,0.167,-0.197,-0.029,iteration,True
2,0,3,0.047,0.165,-0.115,-0.041,iteration,True
2,0,4,0.032,0.233,-0.062,0.007,iteration,True
2,0,5,0.061,0.156,-0.137,-0.148,iteration,True
2,0,6,0.049,0.162,-0.121,-0.039,iteration,True
2,0,7,0.006,0.104,-0.146,0.176,iteration,True
2,0,8,0.059,0.19,-0.005,-0.209,iteration,True
2,0,9,0.03,-0.03,-0.194,-0.015,iteration,True
2,0,10,0.034,0.054,-0.195,0.032,iteration,True
2,0,11,0.032,0.053,-0.239,-0.007,iteration,True
2,0,12,0.063,0.104,-0.107,-0.166,iteration,True
2,0,13,0.02,0.161,-0.145,-0.064,iteration,True
2,0,14,0.046,0.25,0.071,-0.071,iteration,True
2,0,15,0.045,0.145,-0.096,-0.015,iteration,True
2,0,16,0.034,0.027,-0.196,0.01,iteration,True
2,0,17,0.048,0.009,-0.193,-0.185,iteration,True
2,0,18,0.057,0.036,-0.02,-0.2,iteration,True
2,0,19,0.008,0.133,-0.17,0.193,iteration,True
2,0,20,0.039,0.01,-0.207,-0.063,iteration,True
2,0,21,0.02,0.04,-0.119,-0.038,iteration,True
2,0,22,0.089,0.128,-0.028,-0.36,iteration,True
2,0,23,0.056,0.198,0.045,-0.139,iteration,True
2,0,24,0.08,0.172,-0.023,-0.236,iteration,True
2,0,25,0.022,0.075,-0.184,0.088,iteration,True
2,0,26,0.05,0.084,-0.109,-0.142,iteration,True
2,0,27,0.089,0.139,-0.037,-0.281,iteration,True
2,0,28,0.066,0.125,0.139,-0.116,iteration,True
2,0,29,0.059,0.082,-0.23,-0.127,iteration,True
2,0,30,0.073,0.064,-0.005,-0.124,iteration,True
2,0,31,0.056,0.131,-0.071,-0.17,iteration,True
2,0,32,0.056,0.114,-0.051,-0.232,iteration,True
2,0,33,0.029,0.152,-0.038,-0.067,iteration,True
2,0,34,0.034,0.17,-0.073,-0.156,iteration,True
2,0,35,0.072,0.118,0.058,-0.208,iteration,True
2,0,36,0.058,0.13,-0.096,-0.186,iteration,True
2,0,37,0.037,0.032,-0.193,-0.049,iteration,True
2,0,38,-0.0,0.012,-0.087,0.064,iteration,True
2,0,39,0.037,0.086,-0.179,0.025,iteration,True
2,0,40,0.037,0.182,-0.031,-0.203,iteration,True
2,0,41,0.013,0.094,-0.109,0.059,iteration,True
3,0,1,-0.004,0.025,-0.051,0.191,iteration,True
3,0,2,-0.008,0.009,0.006,0.2,iteration,True
3,0,3,-0.027,0.029,-0.017,0.287,iteration,True
3,0,4,-0.021,0.166,0.008,0.566,iteration,True
3,0,5,-0.011,-0.025,-0.04,0.193,iteration,True
3,0,6,-0.023,0.045,-0.006,0.361,iteration,True
3,0,7,-0.008,0.026,0.007,0.211,iteration,True
3,0,8,-0.018,0.128,-0.032,0.556,iteration,True
3,0,9,-0.016,0.008,-0.015,0.182,iteration,True
3,0,10,-0.022,0.031,0.003,0.228,iteration,True
3,0,11,-0.016,0.041,-0.033,0.242,iteration,True
3,0,12,-0.02,0.042,-0.01,0.318,iteration,True
3,0,13,-0.009,0.026,0.002,0.164,iteration,True
3,0,14,-0.006,0.06,0.026,0.074,iteration,True
3,0,15,-0.03,0.031,0.015,0.308,iteration,True
3,0,16,-0.015,0.006,-0.015,0.197,iteration,True
3,0,17,-0.022,0.002,0.002,0.206,iteration,True
3,0,18,-0.048,0.032,0.19,0.513,iteration,True
3,0,19,-0.024,0.047,0.017,0.475,iteration,True
3,0,20,-0.014,0.053,0.075,0.351,iteration,True
3,0,21,-0.003,-0.129,-0.049,0.054,iteration,True
3,0,22,-0.021,0.057,-0.047,0.431,iteration,True
3,0,23,-0.028,0.137,0.066,0.747,iteration,True
3,0,24,-0.034,-0.081,-0.004,0.33,iteration,True
3,0,25,-0.026,0.025,-0.011,0.263,iteration,True
3,0,26,-0.04,-0.016,0.008,0.369,iteration,True
3,0,27,-0.021,0.05,-0.038,0.473,iteration,True
3,0,28,-0.011,0.21,0.176,0.646,iteration,True
3,0,29,-0.015,0.004,-0.006,0.428,iteration,True
3,0,30,-0.011,0.046,-0.209,0.696,iteration,True
3,0,31,0.017,-0.065,-0.002,0.104,iteration,True
3,0,32,0.028,-0.115,-0.005,-0.197,iteration,True
3,0,33,-0.028,-0.003,0.005,0.268,iteration,True
3,0,34,-0.021,0.105,0.09,0.221,iteration,True
3,0,35,-0.004,0.237,0.03,0.575,iteration,True
3,0,36,0.022,-0.084,-0.031,-0.037,iteration,True
3,0,37,-0.017,0.014,0.001,0.163,iteration,True
3,0,38,-0.006,0.051,0.058,0.206,iteration,True
3,0,39,-0.015,0.034,0.023,0.273,iteration,True
3,0,40,-0.007,-0.024,-0.014,-0.053,iteration,True
3,0,41,-0.025,0.046,0.035,0.286,iteration,True
4,0,1,0.043,0.131,-0.11,-0.134,iteration,True
4,0,2,0.043,0.121,-0.181,-0.022,iteration,True
4,0,3,0.041,0.142,-0.096,-0.046,iteration,True
4,0,4,0.032,0.158,-0.077,-0.146,iteration,True
4,0,5,0.049,0.11,-0.11,-0.129,iteration,True
4,0,6,0.041,0.127,-0.111,-0.069,iteration,True
4,0,7,0.008,0.099,-0.123,0.102,iteration,True
4,0,8,0.048,0.13,-0.014,-0.267,iteration,True
4,0,9,0.026,-0.034,-0.16,0.0,iteration,True
4,0,10,0.029,0.05,-0.165,0.04,iteration,True
4,0,11,0.028,0.043,-0.206,-0.016,iteration,True
4,0,12,0.053,0.099,-0.09,-0.168,iteration,True
4,0,13,0.016,0.149,-0.136,-0.059,iteration,True
4,0,14,0.035,0.201,0.023,-0.061,iteration,True
4,0,15,0.043,0.122,-0.102,-0.059,iteration,True
4,0,16,0.028,0.03,-0.158,0.015,iteration,True
4,0,17,0.043,0.008,-0.167,-0.16,iteration,True
4,0,18,0.068,0.036,-0.057,-0.34,iteration,True
4,0,19,0.017,0.142,-0.163,0.065,iteration,True
4,0,20,0.031,-0.008,-0.209,-0.091,iteration,True
4,0,21,0.016,0.098,-0.085,-0.015,iteration,True
4,0,22,0.07,0.092,-0.028,-0.336,iteration,True
4,0,23,0.049,0.142,-0.02,-0.285,iteration,True
4,0,24,0.07,0.113,-0.041,-0.234,iteration,True
4,0,25,0.022,0.056,-0.15,0.07,iteration,True
4,0,26,0.05,0.078,-0.099,-0.166,iteration,True
4,0,27,0.07,0.112,-0.013,-0.272,iteration,True
4,0,28,0.047,0.07,-0.009,-0.247,iteration,True
4,0,29,0.048,0.074,-0.18,-0.178,iteration,True
4,0,30,0.052,0.092,0.038,-0.251,iteration,True
4,0,31,0.032,0.171,-0.078,-0.139,iteration,True
4,0,32,0.027,0.161,-0.065,-0.076,iteration,True
4,0,33,0.032,0.137,-0.059,-0.115,iteration,True
4,0,34,0.033,0.118,-0.126,-0.196,iteration,True
4,0,35,0.055,0.08,0.019,-0.37,iteration,True
4,0,36,0.032,0.171,-0.086,-0.11,iteration,True
4,0,37,0.031,0.024,-0.164,-0.019,iteration,True
4,0,38,0.004,-0.01,-0.103,0.056,iteration,True
4,0,39,0.03,0.078,-0.164,0.008,iteration,True
4,0,40,0.03,0.182,-0.038,-0.138,iteration,True
4,0,41,0.018,0.101,-0.119,-0.003,iteration,True
5,0,1,0.009,0.009,-0.022,-0.035,iteration,True
5,0,2,0.007,0.008,-0.021,0.026,iteration,True
5,0,3,0.004,0.015,-0.009,0.041,iteration,True
5,0,4,0.018,-0.043,0.007,-0.255,iteration,True
5,0,5,0.008,0.005,-0.013,-0.019,iteration,True
5,0,6,0.004,0.012,-0.012,0.034,iteration,True
5,0,7,0.007,0.017,-0.008,0.089,iteration,True
5,0,8,0.006,0.013,0.001,0.019,iteration,True
5,0,9,0.004,-0.01,-0.013,0.041,iteration,True
5,0,10,0.002,0.013,-0.017,0.099,iteration,True
5,0,11,0.004,0.007,-0.03,0.03,iteration,True
5,0,12,0.007,0.007,-0.011,-0.004,iteration,True
5,0,13,0.004,0.043,-0.046,0.172,iteration,True
5,0,14,0.01,0.013,0.006,-0.032,iteration,True
5,0,15,0.004,0.025,-0.011,0.085,iteration,True
5,0,16,0.006,0.003,-0.014,0.034,iteration,True
5,0,17,0.009,0.0,-0.018,-0.029,iteration,True
5,0,18,0.005,0.001,0.009,-0.0,iteration,True
5,0,19,0.01,0.031,-0.032,0.05,iteration,True
5,0,20,0.005,0.002,-0.011,0.019,iteration,True
5,0,21,0.007,0.01,0.016,0.07,iteration,True
5,0,22,0.007,0.005,-0.004,-0.01,iteration,True
5,0,23,0.003,0.033,0.011,0.07,iteration,True
5,0,24,0.004,-0.007,-0.0,0.051,iteration,True
5,0,25,0.002,0.008,-0.006,0.066,iteration,True
5,0,26,0.007,0.002,-0.005,-0.006,iteration,True
5,0,27,0.004,0.008,0.004,0.024,iteration,True
5,0,28,0.003,0.0,-0.034,0.113,iteration,True
5,0,29,0.008,0.003,-0.01,0.005,iteration,True
5,0,30,-0.0,0.019,0.021,0.119,iteration,True
5,0,31,-0.003,0.048,-0.022,0.168,iteration,True
5,0,32,-0.003,0.06,-0.009,0.155,iteration,True
5,0,33,0.009,0.019,0.007,-0.007,iteration,True
5,0,34,0.008,0.024,0.007,-0.008,iteration,True
5,0,35,0.0,0.013,0.0,0.061,iteration,True
5,0,36,0.011,-0.004,-0.007,-0.079,iteration,True
5,0,37,0.007,0.002,-0.012,0.003,iteration,True
5,0,38,0.008,0.004,0.008,0.066,iteration,True
5,0,39,0.004,0.012,-0.019,0.042,iteration,True
5,0,40,0.014,0.003,-0.001,-0.119,iteration,True
5,0,41,0.006,0.014,-0.007,0.024,iteration,True
6,0,1,0.038,0.118,-0.113,-0.129,iteration,True
6,0,2,0.034,0.103,-0.167,-0.046,iteration,True
6,0,3,0.035,0.129,-0.102,-0.067,iteration,True
6,0,4,0.01,0.175,-0.071,-0.041,iteration,True
6,0,5,0.042,0.091,-0.113,-0.126,iteration,True
6,0,6,0.037,0.116,-0.116,-0.09,iteration,True
6,0,7,-0.006,0.093,-0.119,0.082,iteration,True
6,0,8,0.032,0.119,-0.033,-0.291,iteration,True
6,0,9,0.024,-0.009,-0.149,-0.02,iteration,True
6,0,10,0.027,0.058,-0.156,-0.014,iteration,True
6,0,11,0.025,0.054,-0.188,-0.043,iteration,True
6,0,12,0.047,0.1,-0.099,-0.178,iteration,True
6,0,13,0.003,0.138,-0.108,-0.088,iteration,True
6,0,14,0.02,0.183,-0.001,-0.067,iteration,True
6,0,15,0.037,0.108,-0.109,-0.096,iteration,True
6,0,16,0.024,0.042,-0.147,-0.012,iteration,True
