iteration,backup,model,layer,depth,velocity,printed_change,applied_change,change_type,change_semantics,applied
2,0,1,1,-5.0,4.5,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,2,2.28,4.662,0.142,0.142,iteration,applied_iteration_adjustment,True
2,0,1,3,4.47,4.68,0.01,0.01,iteration,applied_iteration_adjustment,True
2,0,1,4,5.16,5.945,-0.045,-0.045,iteration,applied_iteration_adjustment,True
2,0,1,5,10.21,6.268,0.138,0.138,iteration,applied_iteration_adjustment,True
2,0,1,6,20.09,6.52,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,7,23.38,6.75,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,8,26.9,6.91,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,1,-5.0,4.5,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,2,2.28,4.749,0.087,0.087,iteration,applied_iteration_adjustment,True
4,0,1,3,4.47,4.75,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,4,5.16,5.943,-0.002,-0.002,iteration,applied_iteration_adjustment,True
4,0,1,5,10.21,6.277,0.009,0.009,iteration,applied_iteration_adjustment,True
4,0,1,6,20.09,6.52,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,7,23.38,6.75,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,8,26.9,6.91,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
6,0,1,2,2.28,4.816,0.067,0.067,iteration,applied_iteration_adjustment,True
6,0,1,3,4.47,4.817,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,4,5.16,5.938,-0.005,-0.005,iteration,applied_iteration_adjustment,True
6,0,1,5,10.21,6.279,0.001,0.001,iteration,applied_iteration_adjustment,True
6,0,1,6,20.09,6.52,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,7,23.38,6.75,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,8,26.9,6.91,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
8,0,1,2,2.28,4.855,0.039,0.039,iteration,applied_iteration_adjustment,True
8,0,1,3,4.47,4.865,0.048,0.048,iteration,applied_iteration_adjustment,True
8,0,1,4,5.16,5.932,-0.005,-0.005,iteration,applied_iteration_adjustment,True
8,0,1,5,10.21,6.274,-0.004,-0.004,iteration,applied_iteration_adjustment,True
8,0,1,6,20.09,6.52,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,7,23.38,6.75,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,8,26.9,6.91,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,9,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
