iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.45,4.833,iteration
2,0,1,3,4.24,5.695,iteration
2,0,1,4,5.56,6.042,iteration
2,0,1,5,9.29,6.321,iteration
2,0,1,6,18.94,6.49,iteration
2,0,1,7,22.94,6.69,iteration
2,0,1,8,26.68,6.96,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.45,4.81,iteration
4,0,1,3,4.24,5.736,iteration
4,0,1,4,5.56,6.036,iteration
4,0,1,5,9.29,6.343,iteration
4,0,1,6,18.94,6.49,iteration
4,0,1,7,22.94,6.69,iteration
4,0,1,8,26.68,6.96,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.45,4.824,iteration
6,0,1,3,4.24,5.762,iteration
6,0,1,4,5.56,6.023,iteration
6,0,1,5,9.29,6.327,iteration
6,0,1,6,18.94,6.49,iteration
6,0,1,7,22.94,6.69,iteration
6,0,1,8,26.68,6.96,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.45,4.842,iteration
8,0,1,3,4.24,5.793,iteration
8,0,1,4,5.56,6.01,iteration
8,0,1,5,9.29,6.307,iteration
8,0,1,6,18.94,6.49,iteration
8,0,1,7,22.94,6.69,iteration
8,0,1,8,26.68,6.96,iteration
8,0,1,9,45.0,8.1,iteration
