iteration,backup,parameter,mean,std,rms,mean_abs,min,max,n_events
1,0,origin_time,-0.4396097560975609,0.04975985160395707,0.44241697581332123,0.4396097560975609,-0.55,-0.302,41
1,0,x,0.018146341463414636,0.309652012472192,0.3101832660486142,0.25346341463414634,-0.67,0.616,41
1,0,y,-0.012317073170731713,0.38326030376261794,0.38345817337971466,0.3220731707317073,-0.917,0.661,41
1,0,z,0.581390243902439,0.529805711192448,0.786580388337437,0.6244634146341463,-0.328,2.0,41
2,0,origin_time,0.07102439024390243,0.03433300893712898,0.0788873850003606,0.07102439024390243,0.013,0.152,41
2,0,x,0.25870731707317074,0.15531152704891327,0.3017468249070127,0.25992682926829275,-0.013,0.511,41
2,0,y,-0.293,0.22407598885308486,0.36886182884718205,0.3207073170731707,-0.628,0.186,41
2,0,z,-0.08314634146341464,0.23868149620981632,0.25274922498735247,0.19314634146341464,-0.543,0.37,41
3,0,origin_time,0.01604878048780488,0.007453763886370805,0.017695252222545803,0.016439024390243903,-0.008,0.033,41
3,0,x,0.016390243902439025,0.018368687631574697,0.024618058016175948,0.018829268292682926,-0.029,0.069,41
3,0,y,-0.03129268292682927,0.035215880496494295,0.04711040483696186,0.040902439024390246,-0.079,0.1,41
3,0,z,-0.05929268292682926,0.110196331199705,0.125135341365006,0.08865853658536586,-0.362,0.168,41
4,0,origin_time,-0.001658536585365854,0.00832161380953256,0.00848528137423857,0.0067317073170731715,-0.019,0.013,41
4,0,x,0.14578048780487804,0.013902995281982473,0.1464419472092577,0.14578048780487804,0.097,0.165,41
4,0,y,-0.18868292682926827,0.030915651592435988,0.1911989131513145,0.18868292682926827,-0.243,-0.122,41
4,0,z,-0.06143902439024391,0.07836812716369931,0.09958070632994491,0.07465853658536585,-0.294,0.064,41
5,0,origin_time,0.01697560975609756,0.0018933491409829607,0.017080869344414985,0.01697560975609756,0.013,0.024,41
5,0,x,0.0037073170731707324,0.0073426382659329366,0.00822548093337805,0.006926829268292684,-0.022,0.014,41
5,0,y,-0.01624390243902439,0.009634238962197573,0.01888605111793538,0.016926829268292684,-0.037,0.007,41
5,0,z,-0.04336585365853658,0.03644826343185772,0.056648681985830056,0.04336585365853658,-0.191,-0.004,41
6,0,origin_time,-0.0014634146341463417,0.005022377053458145,0.0052312382528935325,0.0038048780487804877,-0.012,0.005,41
6,0,x,0.11529268292682927,0.011195042244256343,0.1158349330181404,0.11529268292682927,0.085,0.132,41
6,0,y,-0.1195609756097561,0.023058831206484887,0.12176426645517088,0.1195609756097561,-0.161,-0.076,41
6,0,z,-0.057439024390243905,0.06981964528226184,0.0904103113048722,0.06758536585365854,-0.252,0.125,41
7,0,origin_time,0.005097560975609756,0.002069580822985017,0.005501662719844504,0.005097560975609756,0.001,0.016,41
7,0,x,0.003975609756097561,0.0026271361099860476,0.004765219519935124,0.004317073170731707,-0.003,0.009,41
7,0,y,-0.011170731707317074,0.007288154234614634,0.013338007310853831,0.011170731707317074,-0.04,-0.0,41
7,0,z,-0.025780487804878047,0.037182812837300974,0.04524594039194257,0.028170731707317074,-0.176,0.048,41
8,0,origin_time,-0.00748780487804878,0.004138586722480079,0.008555414773768687,0.007585365853658536,-0.027,0.002,41
8,0,x,0.07629268292682927,0.019963679095943362,0.07886140977195065,0.07629268292682927,0.034,0.107,41
8,0,y,-0.0745609756097561,0.019461091615144914,0.07705889417018458,0.0745609756097561,-0.116,-0.013,41
8,0,z,-0.046780487804878056,0.07529794872829455,0.08864646141810298,0.05917073170731708,-0.291,0.149,41
