eid,sta,dis,azm,pha,wet,ptt,res,ort,lat,lon,dep,mag,gap,rms,nst,erh,erz
9,,,,,,,,2012-08-14T18:03:35.200000Z,38.423,46.734,10.3,1.9,82.0,0.1,13.0,,1.0
13,,,,,,,,2012-08-14T19:58:53.800000Z,38.42,46.736,10.6,2.8,78.0,0.1,14.0,,0.9
14,,,,,,,,2012-08-14T20:10:56.900000Z,38.387,46.774,11.1,3.3,72.0,0.1,18.0,,0.9
17,,,,,,,,2012-08-14T21:11:55.300000Z,38.407,46.77,11.1,1.2,94.0,0.1,13.0,,1.0
21,,,,,,,,2012-08-14T21:30:13.500000Z,38.406,46.76,11.3,1.4,88.0,0.1,14.0,,0.9
22,,,,,,,,2012-08-14T21:32:40.700000Z,38.41,46.763,9.9,1.4,97.0,0.1,14.0,,0.9
32,,,,,,,,2012-08-14T23:26:52.400000Z,38.409,46.796,10.8,1.2,92.0,0.1,12.0,,1.0
38,,,,,,,,2012-08-14T23:56:13.300000Z,38.405,46.754,10.8,1.1,81.0,0.1,12.0,,0.9
40,,,,,,,,2012-08-15T01:04:20.200000Z,38.415,46.74,12.0,0.9,78.0,0.1,14.0,,0.9
42,,,,,,,,2012-08-15T01:10:32.700000Z,38.404,46.733,11.1,1.9,73.0,0.1,14.0,,1.0
45,,,,,,,,2012-08-15T01:15:32.300000Z,38.422,46.729,12.0,1.6,62.0,0.1,13.0,,0.9
53,,,,,,,,2012-08-15T01:45:32.100000Z,38.423,46.732,10.4,1.4,73.0,0.1,13.0,,1.0
56,,,,,,,,2012-08-15T02:22:39.500000Z,38.387,46.745,10.5,1.7,87.0,0.1,13.0,,1.0
70,,,,,,,,2012-08-15T05:09:27.000000Z,38.402,46.753,10.8,1.7,77.0,0.1,13.0,,1.0
71,,,,,,,,2012-08-15T05:26:27.200000Z,38.404,46.737,11.7,2.7,73.0,0.1,13.0,,0.8
73,,,,,,,,2012-08-15T06:25:10.700000Z,38.409,46.776,11.1,2.6,97.0,0.1,13.0,,0.9
80,,,,,,,,2012-08-15T10:00:35.100000Z,38.424,46.804,12.3,2.6,57.0,0.1,18.0,,0.8
81,,,,,,,,2012-08-15T10:16:01.000000Z,38.401,46.727,10.7,2.7,54.0,0.1,22.0,,0.6
85,,,,,,,,2012-08-15T11:27:06.100000Z,38.411,46.774,9.8,2.3,94.0,0.1,20.0,,0.8
88,,,,,,,,2012-08-15T13:19:01.200000Z,38.439,46.705,3.3,2.2,64.0,0.1,22.0,,1.0
89,,,,,,,,2012-08-15T13:34:33.300000Z,38.415,46.762,11.5,3.0,83.0,0.1,23.0,,0.7
90,,,,,,,,2012-08-15T13:37:06.100000Z,38.427,46.7,11.6,2.0,62.0,0.1,20.0,,0.8
92,,,,,,,,2012-08-15T14:02:41.300000Z,38.382,46.789,8.6,2.0,70.0,0.1,20.0,,0.9
94,,,,,,,,2012-08-15T14:17:21.100000Z,38.409,46.769,10.2,2.0,75.0,0.1,17.0,,0.7
96,,,,,,,,2012-08-15T14:56:57.200000Z,38.419,46.781,8.6,2.4,83.0,0.1,23.0,,0.8
97,,,,,,,,2012-08-15T15:20:26.300000Z,38.398,46.753,10.7,1.6,67.0,0.1,16.0,,0.8
98,,,,,,,,2012-08-15T15:33:26.200000Z,38.383,46.639,6.0,1.9,60.0,0.1,22.0,,0.8
99,,,,,,,,2012-08-15T15:43:25.700000Z,38.415,46.793,7.7,2.1,63.0,0.1,19.0,,0.9
102,,,,,,,,2012-08-15T16:28:54.300000Z,38.382,46.77,11.7,3.0,72.0,0.1,21.0,,0.8
105,,,,,,,,2012-08-15T19:02:15.600000Z,38.384,46.651,6.8,2.1,59.0,0.1,22.0,,1.0
106,,,,,,,,2012-08-15T19:23:58.100000Z,38.388,46.649,7.1,1.8,61.0,0.1,16.0,,0.9
107,,,,,,,,2012-08-15T19:36:21.400000Z,38.386,46.673,7.2,2.6,55.0,0.1,21.0,,0.9
109,,,,,,,,2012-08-15T19:39:16.900000Z,38.426,46.737,11.3,2.9,82.0,0.1,22.0,,0.6
111,,,,,,,,2012-08-15T20:15:12.500000Z,38.388,46.65,6.6,1.9,87.0,0.1,20.0,,1.0
112,,,,,,,,2012-08-15T20:19:00.000000Z,38.407,46.733,10.7,2.4,71.0,0.1,22.0,,0.7
114,,,,,,,,2012-08-15T20:38:43.000000Z,38.41,46.799,10.1,1.8,74.0,0.1,16.0,,1.0
115,,,,,,,,2012-08-15T20:39:42.300000Z,38.405,46.73,11.1,2.4,50.0,0.1,21.0,,0.7
117,,,,,,,,2012-08-15T20:52:34.000000Z,38.417,46.751,11.7,1.2,90.0,,12.0,,0.9
118,,,,,,,,2012-08-15T20:54:03.100000Z,38.426,46.738,11.6,1.3,83.0,0.1,14.0,,0.8
121,,,,,,,,2012-08-15T21:02:50.000000Z,38.393,46.668,6.0,2.5,59.0,0.1,15.0,,1.0
122,,,,,,,,2012-08-15T21:14:04.700000Z,38.431,46.733,10.5,1.2,84.0,0.1,16.0,,0.7
