sta,dis,azm,pha,wet,ptt,res,eid,ort,lat,lon,dep,mag,nst,dmn,gap,rms,erh,erz
,,,,,,,1,2012-08-14 12:10:18.509,38.392,46.798,13.79,2.3,12.0,7.0,94.0,0.08,0.141,0.0
,,,,,,,4,2012-08-14 12:34:10.392,38.399,46.666,3.502,2.7,12.0,7.0,95.0,0.09,0.224,-0.1
,,,,,,,5,2012-08-14 13:58:41.259,38.395,46.675,3.805,2.0,12.0,6.0,89.0,0.1,0.224,-0.1
,,,,,,,8,2012-08-14 17:05:17.855,38.399,46.655,3.546,1.9,12.0,7.0,94.0,0.1,0.2,-0.1
,,,,,,,12,2012-08-14 18:42:57.733,38.404,46.865,7.786,1.9,13.0,10.0,63.0,0.09,0.2,0.0
,,,,,,,18,2012-08-14 21:11:55.097,38.409,46.768,10.37,1.2,13.0,4.0,95.0,0.1,0.2,0.0
,,,,,,,27,2012-08-14 22:37:18.959,38.411,46.833,9.376,1.5,13.0,9.0,78.0,0.1,0.2,-0.1
,,,,,,,32,2012-08-14 23:12:01.670,38.398,46.687,3.644,1.6,13.0,5.0,87.0,0.09,0.2,-0.1
,,,,,,,33,2012-08-14 23:26:52.187,38.412,46.791,10.969,1.2,12.0,6.0,94.0,0.08,0.2,0.0
,,,,,,,34,2012-08-14 23:33:32.284,38.399,46.659,3.813,2.1,14.0,7.0,95.0,0.1,0.2,-0.1
,,,,,,,35,2012-08-14 23:34:16.092,38.393,46.784,7.841,1.2,13.0,6.0,84.0,0.09,0.2,0.0
,,,,,,,37,2012-08-14 23:42:05.359,38.391,46.674,3.789,1.6,13.0,6.0,85.0,0.09,0.2,-0.1
,,,,,,,39,2012-08-14 23:56:13.041,38.41,46.748,10.622,1.1,12.0,3.0,81.0,0.08,0.2,0.0
,,,,,,,40,2012-08-15 00:30:25.122,38.404,46.838,9.304,1.1,12.0,10.0,73.0,0.09,0.2,-0.1
,,,,,,,44,2012-08-15 01:12:32.728,38.394,46.681,4.458,0.0,14.0,6.0,86.0,0.1,0.2,-0.0
,,,,,,,45,2012-08-15 01:13:31.872,38.381,46.765,10.818,1.3,13.0,6.0,92.0,0.09,0.2,0.0
,,,,,,,46,2012-08-15 01:15:32.094,38.421,46.725,11.338,1.6,13.0,1.0,76.0,0.1,0.2,0.0
,,,,,,,47,2012-08-15 01:16:30.006,38.407,46.866,10.808,0.8,13.0,9.0,63.0,0.09,0.2,0.0
,,,,,,,48,2012-08-15 01:19:01.392,38.407,46.85,8.223,1.3,13.0,9.0,69.0,0.09,0.2,0.0
,,,,,,,51,2012-08-15 01:32:21.905,38.414,46.793,7.892,1.9,13.0,6.0,95.0,0.09,0.2,0.0
,,,,,,,56,2012-08-15 02:04:37.798,38.392,46.654,3.241,1.8,13.0,6.0,89.0,0.1,0.2,-0.1
,,,,,,,59,2012-08-15 02:27:22.049,38.399,46.698,3.297,1.8,13.0,4.0,82.0,0.08,0.2,-0.1
,,,,,,,60,2012-08-15 02:39:11.708,38.404,46.838,9.155,2.0,14.0,10.0,73.0,0.09,0.2,-0.1
,,,,,,,63,2012-08-15 02:53:43.377,38.412,46.765,9.186,1.5,12.0,4.0,99.0,0.1,0.2,-0.1
,,,,,,,65,2012-08-15 03:44:30.491,38.401,46.688,11.746,0.0,12.0,5.0,90.0,0.08,0.2,0.0
,,,,,,,73,2012-08-15 06:13:54.422,38.413,46.779,8.511,1.9,13.0,5.0,98.0,0.09,0.2,0.0
,,,,,,,74,2012-08-15 06:25:10.541,38.408,46.776,9.958,2.6,13.0,5.0,95.0,0.09,0.2,0.0
,,,,,,,76,2012-08-15 07:12:14.074,38.392,46.639,4.417,2.5,12.0,9.0,88.0,0.09,0.2,-0.0
,,,,,,,77,2012-08-15 09:03:23.617,38.395,46.798,9.199,1.6,12.0,12.0,84.0,0.1,0.2,-0.1
,,,,,,,80,2012-08-15 09:25:49.082,38.404,46.797,9.522,2.2,15.0,7.0,88.0,0.09,0.2,0.0
,,,,,,,81,2012-08-15 10:00:34.872,38.423,46.797,12.636,2.6,17.0,2.0,71.0,0.1,0.2,0.0
,,,,,,,83,2012-08-15 10:53:24.653,38.393,46.642,3.988,2.4,15.0,6.0,89.0,0.1,0.224,-0.1
,,,,,,,84,2012-08-15 10:56:56.952,38.409,46.711,3.54,2.9,17.0,3.0,83.0,0.09,0.2,-0.1
,,,,,,,85,2012-08-15 11:23:43.842,38.398,46.674,3.868,1.9,13.0,6.0,92.0,0.08,0.224,-0.1
,,,,,,,87,2012-08-15 11:39:28.983,38.387,46.683,3.886,2.0,15.0,5.0,78.0,0.08,0.224,-0.1
,,,,,,,88,2012-08-15 12:03:56.688,38.385,46.805,8.35,1.6,14.0,6.0,84.0,0.09,0.2,0.0
,,,,,,,89,2012-08-15 13:19:00.839,38.436,46.704,3.65,2.2,19.0,2.0,62.0,0.09,0.2,-0.1
,,,,,,,96,2012-08-15 14:20:41.315,38.412,46.788,9.832,1.6,14.0,3.0,78.0,0.09,0.2,0.0
,,,,,,,101,2012-08-15 16:01:21.232,38.403,46.676,5.143,1.6,12.0,6.0,97.0,0.1,0.2,-0.1
,,,,,,,104,2012-08-15 16:37:20.799,38.393,46.671,4.391,2.2,14.0,7.0,87.0,0.1,0.2,-0.1
,,,,,,,111,2012-08-15 19:59:43.514,38.39,46.651,4.182,1.6,14.0,6.0,61.0,0.09,0.2,-0.1
,,,,,,,115,2012-08-15 20:38:42.800,38.41,46.796,9.701,1.8,16.0,3.0,74.0,0.08,0.2,0.0
,,,,,,,117,2012-08-15 20:41:15.941,38.402,46.822,4.126,1.2,13.0,5.0,75.0,0.09,0.141,-0.1
,,,,,,,119,2012-08-15 20:54:02.913,38.423,46.74,10.697,1.3,14.0,1.0,81.0,0.09,0.2,0.0
,,,,,,,122,2012-08-15 21:02:49.754,38.397,46.667,5.146,2.5,15.0,6.0,61.0,0.1,0.224,-0.0
,,,,,,,123,2012-08-15 21:14:04.494,38.432,46.733,10.389,1.2,16.0,0.0,85.0,0.1,0.2,0.0
