 2012  814 1210 18.5 L  38.392  46.798 13.8      12 0.0 2.3L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120814121018     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A  1210 21.65                                   -0.06            
 HIGH     P   0A  1210 22.14                                   -0.06            
 BLVR     P   0A  1210 22.59                                    0.08            
 NMVR     P   0A  1210 22.51                                   -0.06            
 VRDN     P   0A  1210 22.68                                    0.06            
 SRND     P   0A  1210 23.08                                    0.14            
 AZGN     P   0A  1210 23.13                                    0.01            
 MGSL     P   0A  1210 23.58                                   -0.06            
 FRMZ     P   0A  1210 24.00                                    0.04            
 KRNG     P   0A  1210 24.21                                    0.03            
 GOLJ     P   0A  1210 25.01                                   -0.08            
 GRVN     P   4A  1211 17.13                                   -8.49            
                                                                                

 2012  814 1234 10.3 L  38.399  46.666  3.5      12 0.0 2.7L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120814123410     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 HIGH     P   0A  1234 12.20                                   -0.04            
 ZANG     P   0A  1234 12.28                                    0.03            
 SRND     P   0A  1234 13.07                                    0.01            
 FRMZ     P   0A  1234 14.34                                    0.15            
 GOLJ     P   0A  1234 14.94                                   -0.12            
 BLVR     P   0A  1234 15.37                                    0.14            
 NMVR     P   0A  1234 15.88                                    0.06            
 VRDN     P   0A  1234 16.02                                   -0.02            
 AZGN     P   0A  1234 16.13                                   -0.09            
 MGSL     P   0A  1234 17.14                                   -0.00            
 KRNG     P   0A  1234 17.83                                   -0.08            
 GRVN     P   4A  1234 10.80                                   -8.62            
                                                                                

 2012  814 1358 41.2 L  38.395  46.675  3.8      12 0.0 2.0L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120814135841     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 HIGH     P   0A  1358 43.01                                   -0.07            
 ZANG     P   0A  1358 43.16                                    0.06            
 SRND     P   0A  1358 43.95                                    0.00            
 KVCH     P   0A  1358 43.96                                    0.00            
 FRMZ     P   0A  1358 45.29                                    0.13            
 BLVR     P   0A  1358 46.06                                    0.14            
 GOLJ     P   0A  1358 45.93                                   -0.09            
 NMVR     P   0A  1358 46.53                                    0.02            
 AZGN     P   0A  1358 46.85                                   -0.13            
 MGSL     P   0A  1358 47.89                                    0.06            
 KRNG     P   0A  1358 48.53                                   -0.10            
 GRVN     P   4A  1358 41.54                                   -8.57            
                                                                                

 2012  814 17 5 17.8 L  38.399  46.655  3.5      12 0.0 1.9L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120814170517     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A  17 5 19.88                                    0.01            
 KVCH     P   0A  17 5 20.32                                   -0.03            
 SRND     P   0A  17 5 20.45                                    0.01            
 FRMZ     P   0A  17 5 21.67                                    0.11            
 GOLJ     P   0A  17 5 22.27                                   -0.08            
 ORNG     P   0A  17 5 22.34                                    0.07            
 BLVR     P   0A  17 5 22.91                                    0.11            
 NMVR     P   0A  17 5 23.37                                   -0.06            
 VRDN     P   0A  17 5 23.53                                   -0.13            
 AZGN     P   4A  17 5 59.55                                   -24.2            
 MGSL     P   0A  17 5 24.82                                    0.08            
 KRNG     P   4A  17 5 25.36                                   -0.17            
                                                                                

 2012  814 1842 57.7 L  38.404  46.865  7.8      13 0.0 1.9L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120814184257     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ORNG     P   0A  1843  0.50                                    0.14            
 VRDN     P   0A  1843  0.53                                    0.01            
 ZANG     P   0A  1843  0.66                                   -0.15            
 NMVR     P   0A  1843  0.95                                    0.02            
 AZGN     P   0A  1843  1.23                                   -0.08            
 BLVR     P   0A  1843  1.41                                    0.06            
 HIGH     P   4A  1843 32.17                                   -29.6            
 MGSL     P   0A  1843  1.98                                   -0.06            
 KRNG     P   0A  1843  2.25                                   -0.00            
 SRND     P   0A  1843  2.79                                    0.03            
 KVCH     P   0A  1843  3.17                                    0.12            
 FRMZ     P   0A  1843  3.75                                    0.04            
 GOLJ     P   0A  1843  5.17                                   -0.00            
                                                                                

 2012  814 2111 55.9 L  38.409  46.768 10.4      13 0.0 1.2L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120814211155     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A  2111 57.51                                   -0.08            
 HIGH     P   0A  2111 58.17                                   -0.12            
 ORNG     P   0A  2111 58.48                                    0.17            
