code,lat,lon,elv
BST,37.7003,46.8888,2110
FTB,38.0172,46.3943,1663
HRS,38.3173,47.0433,2112
TBZ,38.2348,46.1498,1583
MGSL,38.27,47.02,1762
GRVN,38.26,47.18,2060
KRNG,38.44,47.11,1401
VRDN,38.44,46.98,1399
NMVR,38.3,46.94,1589
BLVR,38.26,46.86,1584
ORNG,38.49,46.86,1527
ZANG,38.43,46.73,1935
HIGH,38.34,46.67,1833
SRND,38.31,46.61,1692
KVCH,38.33,46.58,1857
GOLJ,38.41,46.42,2044
FRMZ,38.52,46.55,1744
HMLO,38.48,46.53,1918
AZGN,38.53,46.95,1538
MHTR,38.47,46.71,1803
GZCH,38.44,46.8,1773
JIGH,38.31,46.76,1878
SDHR,38.46,46.9,1488
TABZ,38.057,46.327,1487
VRZ1,38.504,46.668,1693
