iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.33,4.722,iteration
2,0,1,3,3.89,5.839,iteration
2,0,1,4,5.22,6.13,iteration
2,0,1,5,19.41,6.208,iteration
2,0,1,6,22.27,6.578,iteration
2,0,1,7,26.84,6.792,iteration
2,0,1,8,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.33,4.688,iteration
4,0,1,3,3.89,5.964,iteration
4,0,1,4,5.22,6.33,iteration
4,0,1,5,19.41,6.331,iteration
4,0,1,6,22.27,6.532,iteration
4,0,1,7,26.84,6.778,iteration
4,0,1,8,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.33,4.669,iteration
6,0,1,3,3.89,5.986,iteration
6,0,1,4,5.22,6.442,iteration
6,0,1,5,19.41,6.443,iteration
6,0,1,6,22.27,6.509,iteration
6,0,1,7,26.84,6.778,iteration
6,0,1,8,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.33,4.653,iteration
8,0,1,3,3.89,5.974,iteration
8,0,1,4,5.22,6.488,iteration
8,0,1,5,19.41,6.489,iteration
8,0,1,6,22.27,6.509,iteration
8,0,1,7,26.84,6.778,iteration
8,0,1,8,45.0,8.1,iteration
