iteration,backup,parameter,mean,std,rms,mean_abs,min,max,n_events
1,0,origin_time,-0.19350000000000003,0.5428578440889371,0.5763131864610499,0.3799444444444445,-2.352,0.752,36
1,0,x,1.4930277777777778,5.993709816160564,6.176867272781208,5.130972222222223,-9.191,14.211,36
1,0,y,2.1915555555555555,7.07299804595086,7.404742879473338,5.110722222222222,-9.542,26.33,36
1,0,z,0.9169722222222223,1.6631662655928823,1.89919985344706,1.8553055555555555,-2.0,2.0,36
2,0,origin_time,0.09067391304347829,0.09938332778293264,0.13453179679104152,0.11632608695652173,-0.291,0.39,46
2,0,x,0.037195652173913046,0.42351852377563887,0.4251487463485446,0.3102391304347827,-1.197,1.214,46
2,0,y,-0.02332608695652174,0.7861713513397044,0.7865173233947234,0.4546304347826088,-3.782,1.941,46
2,0,z,0.1201304347826087,0.8409627921432531,0.8494996993115623,0.7011304347826087,-2.0,1.555,46
3,0,origin_time,-0.006511111111111114,0.28175778583127603,0.28183300808181505,0.1990444444444444,-1.024,0.506,45
3,0,x,-0.3049333333333334,1.091276712031473,1.1330795205986206,0.7037777777777778,-3.432,2.429,45
3,0,y,-0.0883777777777778,1.8114603352469079,1.813614947495134,1.2044666666666666,-4.045,5.987,45
3,0,z,-0.311,1.5616895409210572,1.5923552437261674,1.4537111111111112,-2.0,2.0,45
4,0,origin_time,0.10826086956521738,0.05926375634935033,0.12342045493212288,0.11417391304347825,-0.109,0.202,46
4,0,x,0.04126086956521739,0.28820859254476633,0.2911471314883818,0.25813043478260866,-0.51,0.535,46
4,0,y,-0.11869565217391306,0.1398572050599588,0.18343580798790055,0.14408695652173914,-0.52,0.163,46
4,0,z,-0.030652173913043482,1.1701878559220515,1.1705892421823478,0.9580000000000001,-2.0,2.0,46
5,0,origin_time,0.0032173913043478243,0.10510034812408282,0.10514958289317508,0.07004347826086957,-0.316,0.305,46
5,0,x,-0.015978260869565223,0.1647692047433562,0.16554212651821865,0.11428260869565218,-0.332,0.519,46
5,0,y,-0.034847826086956524,0.15381538445576276,0.15771348540394658,0.11958695652173912,-0.466,0.238,46
5,0,z,-0.3515652173913043,1.2385319966057626,1.2874624688493457,0.9882173913043478,-2.0,2.0,46
6,0,origin_time,0.07658695652173912,0.06337451692190692,0.09940770243973968,0.08332608695652173,-0.059,0.263,46
6,0,x,0.07997826086956522,0.17928644667735713,0.19631645925370864,0.16193478260869565,-0.26,0.489,46
6,0,y,-0.12232608695652171,0.07009653416595857,0.14098650875943383,0.12249999999999997,-0.327,0.004,46
6,0,z,-0.056152173913043495,1.020057414568912,1.0216017793896865,0.7846304347826086,-2.0,2.0,46
7,0,origin_time,-0.0016956521739130426,0.05055211239951234,0.05058054274469409,0.03139130434782609,-0.103,0.22,46
7,0,x,0.011369565217391303,0.06920899624095504,0.07013666782727167,0.040804347826086954,-0.149,0.25,46
7,0,y,-0.018630434782608698,0.05171719026954366,0.054970545472691264,0.03958695652173913,-0.187,0.12,46
7,0,z,-0.08230434782608696,0.7648714262389128,0.7692868803949708,0.516,-2.0,2.0,46
8,0,origin_time,0.01782608695652174,0.0410187148950892,0.04472476213269431,0.025521739130434783,-0.082,0.217,46
8,0,x,0.042304347826086955,0.06363614968171628,0.07641477207519727,0.0518695652173913,-0.057,0.309,46
8,0,y,-0.03254347826086957,0.04058951809526752,0.05202486863531458,0.03871739130434782,-0.185,0.042,46
8,0,z,-0.15121739130434783,0.6136080718052028,0.6319664272866015,0.37569565217391304,-2.0,1.244,46
