sta,dis,azm,pha,wet,ptt,res,eid,ort,lat,lon,dep,mag,nst,dmn,gap,rms,erh,erz
,,,,,,,1,2012-08-14 12:10:18.509,38.333,46.777,13.754,2.300,12.000,7.000,94.000,0.080,0.141,0.000
,,,,,,,4,2012-08-14 12:34:10.392,38.383,46.654,0.000,2.700,12.000,7.000,95.000,0.090,0.224,-0.100
,,,,,,,5,2012-08-14 13:58:41.259,38.545,46.860,16.312,2.000,12.000,6.000,89.000,0.100,0.224,-0.100
,,,,,,,8,2012-08-14 17:05:17.855,38.458,46.609,5.076,1.900,12.000,7.000,94.000,0.100,0.200,-0.100
,,,,,,,12,2012-08-14 18:42:57.733,38.256,46.839,9.438,1.900,13.000,10.000,63.000,0.090,0.200,0.000
,,,,,,,18,2012-08-14 21:11:55.097,38.409,46.809,21.744,1.200,13.000,4.000,95.000,0.100,0.200,0.000
,,,,,,,27,2012-08-14 22:37:18.959,38.355,46.747,14.557,1.500,13.000,9.000,78.000,0.100,0.200,-0.100
,,,,,,,32,2012-08-14 23:12:01.670,38.411,46.654,3.271,1.600,13.000,5.000,87.000,0.090,0.200,-0.100
,,,,,,,33,2012-08-14 23:26:52.187,38.267,46.792,10.062,1.200,12.000,6.000,94.000,0.080,0.200,0.000
,,,,,,,34,2012-08-14 23:33:32.284,38.421,46.729,2.604,2.100,14.000,7.000,95.000,0.100,0.200,-0.100
,,,,,,,35,2012-08-14 23:34:16.092,38.414,46.666,18.608,1.200,13.000,6.000,84.000,0.090,0.200,0.000
,,,,,,,37,2012-08-14 23:42:05.359,38.533,46.797,11.620,1.600,13.000,6.000,85.000,0.090,0.200,-0.100
,,,,,,,39,2012-08-14 23:56:13.041,38.438,46.716,14.281,1.100,12.000,3.000,81.000,0.080,0.200,0.000
,,,,,,,40,2012-08-15 00:30:25.122,38.450,46.853,17.292,1.100,12.000,10.000,73.000,0.090,0.200,-0.100
,,,,,,,44,2012-08-15 01:12:32.728,38.260,46.757,0.000,0.000,14.000,6.000,86.000,0.100,0.200,-0.000
,,,,,,,45,2012-08-15 01:13:31.872,38.584,46.824,15.928,1.300,13.000,6.000,92.000,0.090,0.200,0.000
,,,,,,,46,2012-08-15 01:15:32.094,38.249,46.820,0.000,1.600,13.000,1.000,76.000,0.100,0.200,0.000
,,,,,,,47,2012-08-15 01:16:30.006,38.506,46.882,24.281,0.800,13.000,9.000,63.000,0.090,0.200,0.000
,,,,,,,48,2012-08-15 01:19:01.392,38.377,46.848,9.123,1.300,13.000,9.000,69.000,0.090,0.200,0.000
,,,,,,,51,2012-08-15 01:32:21.905,38.335,46.821,9.726,1.900,13.000,6.000,95.000,0.090,0.200,0.000
,,,,,,,56,2012-08-15 02:04:37.798,38.333,46.564,9.235,1.800,13.000,6.000,89.000,0.100,0.200,-0.100
,,,,,,,59,2012-08-15 02:27:22.049,38.339,46.807,3.200,1.800,13.000,4.000,82.000,0.080,0.200,-0.100
,,,,,,,60,2012-08-15 02:39:11.708,38.438,46.768,6.614,2.000,14.000,10.000,73.000,0.090,0.200,-0.100
,,,,,,,63,2012-08-15 02:53:43.377,38.402,46.652,21.084,1.500,12.000,4.000,99.000,0.100,0.200,-0.100
,,,,,,,65,2012-08-15 03:44:30.491,38.534,46.873,12.904,0.000,12.000,5.000,90.000,0.080,0.200,0.000
,,,,,,,73,2012-08-15 06:13:54.422,38.248,46.767,0.000,1.900,13.000,5.000,98.000,0.090,0.200,0.000
,,,,,,,74,2012-08-15 06:25:10.541,38.408,46.670,14.354,2.600,13.000,5.000,95.000,0.090,0.200,0.000
,,,,,,,76,2012-08-15 07:12:14.074,38.312,46.806,0.000,2.500,12.000,9.000,88.000,0.090,0.200,-0.000
,,,,,,,77,2012-08-15 09:03:23.617,38.465,46.768,25.754,1.600,12.000,12.000,84.000,0.100,0.200,-0.100
,,,,,,,80,2012-08-15 09:25:49.082,38.214,46.893,7.811,2.200,15.000,7.000,88.000,0.090,0.200,0.000
,,,,,,,81,2012-08-15 10:00:34.872,38.392,46.722,13.095,2.600,17.000,2.000,71.000,0.100,0.200,0.000
,,,,,,,83,2012-08-15 10:53:24.653,38.412,46.620,26.566,2.400,15.000,6.000,89.000,0.100,0.224,-0.100
,,,,,,,84,2012-08-15 10:56:56.952,38.276,46.559,25.057,2.900,17.000,3.000,83.000,0.090,0.200,-0.100
,,,,,,,85,2012-08-15 11:23:43.842,38.487,46.502,5.026,1.900,13.000,6.000,92.000,0.080,0.224,-0.100
,,,,,,,87,2012-08-15 11:39:28.983,38.403,46.595,10.135,2.000,15.000,5.000,78.000,0.080,0.224,-0.100
,,,,,,,88,2012-08-15 12:03:56.688,38.476,46.798,19.252,1.600,14.000,6.000,84.000,0.090,0.200,0.000
,,,,,,,89,2012-08-15 13:19:00.839,38.522,46.776,20.470,2.200,19.000,2.000,62.000,0.090,0.200,-0.100
,,,,,,,96,2012-08-15 14:20:41.315,38.324,47.006,8.521,1.600,14.000,3.000,78.000,0.090,0.200,0.000
,,,,,,,101,2012-08-15 16:01:21.232,38.331,46.583,6.496,1.600,12.000,6.000,97.000,0.100,0.200,-0.100
,,,,,,,104,2012-08-15 16:37:20.799,38.375,46.762,16.637,2.200,14.000,7.000,87.000,0.100,0.200,-0.100
,,,,,,,111,2012-08-15 19:59:43.514,38.457,46.597,6.878,1.600,14.000,6.000,61.000,0.090,0.200,-0.100
,,,,,,,115,2012-08-15 20:38:42.800,38.487,46.782,17.246,1.800,16.000,3.000,74.000,0.080,0.200,0.000
,,,,,,,117,2012-08-15 20:41:15.941,38.338,46.689,10.225,1.200,13.000,5.000,75.000,0.090,0.141,-0.100
,,,,,,,119,2012-08-15 20:54:02.913,38.368,46.607,0.000,1.300,14.000,1.000,81.000,0.090,0.200,0.000
,,,,,,,122,2012-08-15 21:02:49.754,38.325,46.597,0.000,2.500,15.000,6.000,61.000,0.100,0.224,-0.000
,,,,,,,123,2012-08-15 21:14:04.494,38.379,46.626,0.000,1.200,16.000,0.000,85.000,0.100,0.200,0.000
