ort,lat,lon,dep,mag
2012-08-14 12:10:18.260,38.3685,46.8001,19.8,2.3
2012-08-14 12:34:10.770,38.3861,46.6522,4.87,2.7
2012-08-14 13:58:41.610,38.3813,46.6616,6.12,2.0
2012-08-14 17:05:18.200,38.3856,46.6412,4.77,1.9
2012-08-14 18:42:57.940,38.3927,46.8752,10.27,1.9
2012-08-14 21:11:55.070,38.3949,46.766,15.23,1.2
2012-08-14 22:37:19.040,38.4002,46.8398,13.36,1.5
2012-08-14 23:12:02.050,38.3853,46.6754,5.37,1.6
2012-08-14 23:26:52.110,38.3998,46.7944,16.06,1.2
2012-08-14 23:33:32.630,38.3855,46.6442,5.77,2.1
2012-08-14 23:34:16.200,38.3779,46.784,11.87,1.2
2012-08-14 23:42:05.710,38.377,46.6618,5.6,1.6
2012-08-14 23:56:13.060,38.3933,46.7446,14.96,1.1
2012-08-15 00:30:25.110,38.3922,46.8494,14.1,1.1
2012-08-15 01:12:33.040,38.3816,46.6697,6.38,0.0
2012-08-15 01:13:31.800,38.3608,46.7621,15.59,1.3
2012-08-15 01:15:32.140,38.4079,46.7181,15.12,1.6
2012-08-15 01:16:29.940,38.3948,46.8801,15.5,0.8
2012-08-15 01:19:01.580,38.3954,46.8593,11.06,1.3
2012-08-15 01:32:22.060,38.4035,46.795,11.66,1.9
2012-08-15 02:04:38.150,38.3783,46.6386,4.31,1.8
2012-08-15 02:27:22.440,38.3871,46.6874,4.65,1.8
2012-08-15 02:39:11.850,38.3912,46.8459,12.43,2.0
2012-08-15 02:53:43.460,38.3997,46.7632,13.35,1.5
2012-08-15 03:44:30.340,38.3792,46.6707,16.93,0.0
2012-08-15 06:13:54.570,38.4012,46.779,12.11,1.9
2012-08-15 06:25:10.560,38.3942,46.7749,14.43,2.6
2012-08-15 07:12:14.390,38.3809,46.6228,5.14,2.5
2012-08-15 09:03:23.680,38.3801,46.7996,13.28,1.6
2012-08-15 09:25:49.090,38.3899,46.7982,14.21,2.2
2012-08-15 10:00:34.770,38.4135,46.7985,17.74,2.6
2012-08-15 10:53:24.930,38.3733,46.6237,10.57,2.4
2012-08-15 10:56:57.360,38.3982,46.7026,9.08,2.9
2012-08-15 11:23:44.220,38.3842,46.6621,5.67,1.9
2012-08-15 11:39:29.360,38.3717,46.6726,5.35,2.0
2012-08-15 12:03:56.850,38.368,46.8093,11.49,1.6
2012-08-15 13:19:01.280,38.4306,46.6959,5.18,2.2
2012-08-15 14:20:41.380,38.3996,46.7893,13.8,1.6
2012-08-15 16:01:21.490,38.3899,46.6663,7.69,1.6
2012-08-15 16:37:21.090,38.3795,46.6604,6.51,2.2
2012-08-15 19:59:43.810,38.3756,46.6331,6.72,1.6
2012-08-15 20:38:42.870,38.397,46.7988,13.78,1.8
2012-08-15 20:41:16.320,38.3906,46.8292,5.08,1.2
2012-08-15 20:54:02.950,38.4116,46.7341,14.8,1.3
2012-08-15 21:02:50.000,38.3828,46.6531,7.83,2.5
2012-08-15 21:14:04.560,38.422,46.7265,14.38,1.2
