iteration,backup,model,layer,depth,velocity,printed_change,applied_change,change_type,change_semantics,applied
2,0,1,1,-5.0,4.5,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,2,2.33,4.696,-0.034,-0.034,iteration,applied_iteration_adjustment,True
2,0,1,3,3.89,5.818,0.138,0.138,iteration,applied_iteration_adjustment,True
2,0,1,4,5.22,6.13,0.2,0.2,iteration,applied_iteration_adjustment,True
2,0,1,5,19.41,6.145,-0.105,-0.105,iteration,applied_iteration_adjustment,True
2,0,1,6,22.27,6.542,-0.078,-0.078,iteration,applied_iteration_adjustment,True
2,0,1,7,26.84,6.81,0.0,0.0,iteration,applied_iteration_adjustment,True
2,0,1,8,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
4,0,1,2,2.33,4.651,-0.044,-0.044,iteration,applied_iteration_adjustment,True
4,0,1,3,3.89,5.846,0.027,0.027,iteration,applied_iteration_adjustment,True
4,0,1,4,5.22,6.33,0.2,0.2,iteration,applied_iteration_adjustment,True
4,0,1,5,19.41,6.331,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,6,22.27,6.542,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,7,26.84,6.81,0.0,0.0,iteration,applied_iteration_adjustment,True
4,0,1,8,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
6,0,1,2,2.33,4.612,-0.039,-0.039,iteration,applied_iteration_adjustment,True
6,0,1,3,3.89,5.804,-0.042,-0.042,iteration,applied_iteration_adjustment,True
6,0,1,4,5.22,6.403,0.073,0.073,iteration,applied_iteration_adjustment,True
6,0,1,5,19.41,6.404,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,6,22.27,6.542,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,7,26.84,6.81,0.0,0.0,iteration,applied_iteration_adjustment,True
6,0,1,8,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,1,-5.0,4.5,-0.0,-0.0,iteration,applied_iteration_adjustment,True
8,0,1,2,2.33,4.58,-0.032,-0.032,iteration,applied_iteration_adjustment,True
8,0,1,3,3.89,5.756,-0.048,-0.048,iteration,applied_iteration_adjustment,True
8,0,1,4,5.22,6.43,0.027,0.027,iteration,applied_iteration_adjustment,True
8,0,1,5,19.41,6.431,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,6,22.27,6.542,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,7,26.84,6.81,0.0,0.0,iteration,applied_iteration_adjustment,True
8,0,1,8,45.0,8.1,0.0,0.0,iteration,applied_iteration_adjustment,True
