iteration,backup,event,origin_time_change,dx,dy,dz,change_type,applied
1,0,1,1.118,-1.103,-7.542,2.0,iteration,True
1,0,3,0.742,5.431,13.926,2.0,iteration,True
1,0,4,0.314,-8.26,1.788,2.0,iteration,True
1,0,5,0.514,3.667,-7.788,2.0,iteration,True
1,0,7,0.199,-0.937,-6.662,2.0,iteration,True
1,0,11,0.084,-2.406,-2.584,2.0,iteration,True
1,0,12,-0.724,8.837,8.063,-2.0,iteration,True
1,0,13,0.352,-2.888,4.704,2.0,iteration,True
1,0,14,0.192,1.966,-4.72,2.0,iteration,True
1,0,15,0.119,5.379,2.749,2.0,iteration,True
1,0,16,0.617,2.047,-8.94,2.0,iteration,True
1,0,17,0.613,4.846,-8.156,2.0,iteration,True
1,0,19,0.127,-7.468,-1.011,2.0,iteration,True
1,0,20,0.665,3.747,-6.425,2.0,iteration,True
1,0,22,-0.02,5.617,6.955,-2.0,iteration,True
1,0,23,-0.729,1.874,-1.8,-2.0,iteration,True
1,0,24,0.209,-3.454,-3.05,2.0,iteration,True
1,0,25,-0.536,-6.263,10.377,2.0,iteration,True
1,0,26,1.008,-0.014,12.199,2.0,iteration,True
1,0,27,-0.156,-2.407,-4.282,0.317,iteration,True
1,0,28,0.289,-0.71,7.973,2.0,iteration,True
1,0,30,0.122,4.637,-4.154,2.0,iteration,True
1,0,31,-0.61,-8.003,-2.757,-2.0,iteration,True
1,0,32,0.062,-1.795,-3.828,-2.0,iteration,True
1,0,34,0.081,7.159,-0.721,2.0,iteration,True
1,0,36,-0.143,-2.696,4.009,-1.399,iteration,True
1,0,37,0.241,7.288,-0.787,2.0,iteration,True
1,0,38,-0.261,-4.278,5.488,0.049,iteration,True
1,0,39,-0.005,-9.193,-5.784,2.0,iteration,True
1,0,40,0.004,2.54,-1.214,-1.132,iteration,True
1,0,41,-0.187,-0.847,7.427,-2.0,iteration,True
1,0,43,0.032,-6.703,2.743,-0.399,iteration,True
1,0,44,0.346,1.547,-1.498,2.0,iteration,True
1,0,45,-0.706,8.422,-5.617,-2.0,iteration,True
2,0,1,-0.192,-0.592,-1.733,2.0,iteration,True
2,0,2,0.097,-0.709,-0.53,-2.0,iteration,True
2,0,3,0.308,-2.507,5.915,2.0,iteration,True
2,0,4,-0.061,-0.785,-0.376,1.578,iteration,True
2,0,5,-0.103,0.908,-1.468,1.49,iteration,True
2,0,6,0.123,-0.619,-1.122,0.255,iteration,True
2,0,7,0.052,-0.835,-0.315,1.067,iteration,True
2,0,8,-0.113,-0.28,0.745,-1.493,iteration,True
2,0,9,0.157,-1.059,-0.231,-0.43,iteration,True
2,0,10,0.114,-0.107,-0.159,-0.891,iteration,True
2,0,11,0.102,-0.585,-0.097,1.081,iteration,True
2,0,12,0.285,-1.269,0.328,-2.0,iteration,True
