ort,lat,lon,dep,mag
2012-08-14 12:10:18.800,38.389,46.797,11.9,2.3
2012-08-14 12:22:56.500,38.408,46.772,11.8,2.4
2012-08-14 12:33:18.200,38.429,46.731,10.9,3.1
2012-08-14 12:34:10.800,38.392,46.67,4.1,2.7
2012-08-14 13:58:41.600,38.391,46.678,4.1,2.0
2012-08-14 14:02:26.300,38.449,46.773,13.9,4.9
2012-08-14 15:48:20.400,38.384,46.648,4.1,3.7
2012-08-14 17:05:18.100,38.4,46.654,4.1,1.9
2012-08-14 17:19:59.400,38.421,46.758,11.9,2.0
2012-08-14 18:03:35.200,38.423,46.734,10.3,1.9
2012-08-14 18:27:32.400,38.415,46.802,12.3,1.9
2012-08-14 18:42:58.000,38.404,46.869,8.3,1.9
2012-08-14 19:40:50.500,38.38,46.811,8.2,1.6
2012-08-14 19:58:53.800,38.42,46.736,10.6,2.8
2012-08-14 20:10:56.900,38.387,46.774,11.1,3.3
2012-08-14 20:20:33.300,38.38,46.642,4.7,2.9
2012-08-14 21:02:33.800,38.385,46.677,4.3,1.7
2012-08-14 21:11:55.300,38.407,46.77,11.1,1.2
2012-08-14 21:17:20.900,38.411,46.869,10.8,1.2
2012-08-14 21:20:09.400,38.417,46.752,12.1,1.2
2012-08-14 21:26:25.700,38.406,46.849,11.3,1.3
2012-08-14 21:30:13.500,38.406,46.76,11.3,1.4
2012-08-14 21:32:40.700,38.41,46.763,9.9,1.4
2012-08-14 21:48:16.800,38.432,46.798,12.8,1.5
2012-08-14 21:56:12.800,38.393,46.656,4.7,2.4
2012-08-14 21:58:40.300,38.389,46.678,4.1,2.2
2012-08-14 22:37:19.200,38.414,46.835,9.4,1.5
2012-08-14 22:55:05.400,38.42,46.787,11.0,1.5
2012-08-14 22:55:52.900,38.374,46.798,6.0,2.4
2012-08-14 23:11:15.400,38.387,46.636,4.6,1.3
2012-08-14 23:11:52.600,38.417,46.754,11.0,1.2
2012-08-14 23:12:02.000,38.393,46.692,4.1,1.6
2012-08-14 23:26:52.400,38.409,46.796,10.8,1.2
2012-08-14 23:33:32.600,38.398,46.661,4.1,2.1
2012-08-14 23:34:16.300,38.393,46.782,8.6,1.2
2012-08-14 23:40:46.500,38.381,46.66,7.5,1.7
2012-08-14 23:42:05.700,38.386,46.679,4.1,1.6
2012-08-14 23:50:17.500,38.403,46.707,4.1,2.8
2012-08-14 23:56:13.300,38.405,46.754,10.8,1.1
2012-08-15 00:30:25.300,38.406,46.844,10.1,1.1
2012-08-15 01:04:20.200,38.415,46.74,12.0,0.9
2012-08-15 01:08:50.700,38.413,46.766,11.1,1.4
2012-08-15 01:10:32.700,38.404,46.733,11.1,1.9
2012-08-15 01:12:33.000,38.396,46.675,5.0,0.0
2012-08-15 01:13:32.100,38.38,46.771,11.5,1.3
2012-08-15 01:15:32.300,38.422,46.729,12.0,1.6
2012-08-15 01:16:30.300,38.403,46.873,9.0,0.8
2012-08-15 01:19:01.600,38.408,46.855,8.4,1.3
2012-08-15 01:22:57.000,38.414,46.756,12.4,1.9
2012-08-15 01:23:40.300,38.422,46.673,13.3,3.0
2012-08-15 01:32:22.200,38.413,46.794,8.1,1.9
2012-08-15 01:35:40.400,38.395,46.648,4.7,2.0
2012-08-15 01:39:56.000,38.429,46.716,11.9,3.1
2012-08-15 01:45:32.100,38.423,46.732,10.4,1.4
2012-08-15 01:46:48.300,38.407,46.67,4.0,1.5
2012-08-15 02:04:38.100,38.385,46.653,4.1,1.8
2012-08-15 02:22:39.500,38.387,46.745,10.5,1.7
2012-08-15 02:24:22.700,38.413,46.799,12.8,1.9
2012-08-15 02:27:22.400,38.396,46.698,3.7,1.8
