sta,dis,azm,pha,wet,ptt,res,eid,ort,lat,lon,dep,mag,nst,dmn,gap,rms,erh,erz
ZANG,7.000,55.000,P,0,3.352,-0.076,1,,,,,,,,,,,
HIGH,13.000,117.000,P,0,3.842,-0.055,1,,,,,,,,,,,
BLVR,16.000,200.000,P,0,4.292,0.082,1,,,,,,,,,,,
NMVR,16.000,231.000,P,0,4.212,-0.057,1,,,,,,,,,,,
VRDN,17.000,288.000,P,0,4.382,0.061,1,,,,,,,,,,,
SRND,19.000,119.000,P,0,4.782,0.148,1,,,,,,,,,,,
AZGN,20.000,319.000,P,0,4.832,0.020,1,,,,,,,,,,,
MGSL,24.000,235.000,P,0,5.282,-0.059,1,,,,,,,,,,,
FRMZ,26.000,57.000,P,0,5.702,0.046,1,,,,,,,,,,,
KRNG,28.000,281.000,P,0,5.912,0.020,1,,,,,,,,,,,
GOLJ,33.000,87.000,P,0,6.712,-0.096,1,,,,,,,,,,,
GRVN,37.000,246.000,P,4,58.832,-8.526,1,,,,,,,,,,,
,,,,,,,1,2012-08-14 12:10:18.298,38.392,46.798,14.962,2.300,12.000,7.000,95.000,0.080,0.141,0.100
ZANG,4.000,64.000,P,0,2.697,-0.028,2,,,,,,,,,,,
HIGH,12.000,133.000,P,0,3.347,-0.100,2,,,,,,,,,,,
SRND,18.000,130.000,P,0,4.277,0.023,2,,,,,,,,,,,
BLVR,19.000,205.000,P,0,4.477,0.144,2,,,,,,,,,,,
VRDN,19.000,279.000,P,0,4.317,0.058,2,,,,,,,,,,,
NMVR,20.000,229.000,P,0,4.457,0.021,2,,,,,,,,,,,
AZGN,20.000,309.000,P,0,4.507,-0.032,2,,,,,,,,,,,
FRMZ,23.000,59.000,P,0,5.047,0.132,2,,,,,,,,,,,
MGSL,27.000,234.000,P,0,5.577,-0.055,2,,,,,,,,,,,
KRNG,30.000,275.000,P,0,5.967,-0.047,2,,,,,,,,,,,
GOLJ,31.000,91.000,P,0,6.157,-0.083,2,,,,,,,,,,,
GRVN,40.000,244.000,P,4,59.137,-8.592,2,,,,,,,,,,,
,,,,,,,2,2012-08-14 12:22:56.133,38.414,46.770,11.801,2.400,12.000,4.000,108.000,0.090,0.141,0.000
ZANG,1.000,21.000,P,0,2.675,-0.310,3,,,,,,,,,,,
HIGH,10.000,147.000,P,0,3.475,-0.056,3,,,,,,,,,,,
SRND,16.000,138.000,P,0,4.355,0.161,3,,,,,,,,,,,
FRMZ,20.000,55.000,P,0,4.765,0.094,3,,,,,,,,,,,
VRDN,22.000,276.000,P,0,4.925,0.059,3,,,,,,,,,,,
BLVR,21.000,212.000,P,0,5.065,0.284,3,,,,,,,,,,,
AZGN,22.000,303.000,P,0,4.975,-0.054,3,,,,,,,,,,,
NMVR,22.000,234.000,P,0,5.215,0.214,3,,,,,,,,,,,
GOLJ,28.000,92.000,P,0,5.925,0.038,3,,,,,,,,,,,
HRS ,29.000,247.000,P,0,5.805,-0.337,3,,,,,,,,,,,
MGSL,30.000,236.000,P,0,6.415,0.222,3,,,,,,,,,,,
KRNG,33.000,274.000,P,0,6.685,0.081,3,,,,,,,,,,,
GRVN,43.000,246.000,P,4,0.005,-8.292,3,,,,,,,,,,,
TBZ ,55.000,112.000,P,0,10.285,0.006,3,,,,,,,,,,,
BST ,81.000,190.000,P,0,14.265,-0.370,3,,,,,,,,,,,
,,,,,,,3,2012-08-14 12:33:17.615,38.419,46.736,13.892,3.100,15.000,1.000,76.000,0.220,0.200,0.000
HIGH,7.000,182.000,P,0,1.792,-0.037,4,,,,,,,,,,,
ZANG,7.000,302.000,P,0,1.872,0.031,4,,,,,,,,,,,
SRND,11.000,153.000,P,0,2.662,-0.003,4,,,,,,,,,,,
FRMZ,17.000,37.000,P,0,3.932,0.155,4,,,,,,,,,,,
GOLJ,22.000,87.000,P,0,4.532,-0.119,4,,,,,,,,,,,
BLVR,23.000,228.000,P,0,4.962,0.156,4,,,,,,,,,,,
NMVR,26.000,245.000,P,0,5.472,0.064,4,,,,,,,,,,,
VRDN,28.000,279.000,P,0,5.612,-0.015,4,,,,,,,,,,,
AZGN,29.000,300.000,P,0,5.722,-0.086,4,,,,,,,,,,,
MGSL,34.000,245.000,P,0,6.732,-0.009,4,,,,,,,,,,,
KRNG,39.000,277.000,P,0,7.422,-0.103,4,,,,,,,,,,,
GRVN,47.000,251.000,P,4,0.392,-8.656,4,,,,,,,,,,,
,,,,,,,4,2012-08-14 12:34:10.408,38.399,46.667,3.308,2.700,12.000,7.000,94.000,0.100,0.224,-0.100
HIGH,6.000,176.000,P,0,1.738,-0.061,5,,,,,,,,,,,
ZANG,6.000,309.000,P,0,1.888,0.063,5,,,,,,,,,,,
SRND,11.000,149.000,P,0,2.678,-0.005,5,,,,,,,,,,,
KVCH,11.000,131.000,P,0,2.688,-0.010,5,,,,,,,,,,,
FRMZ,18.000,38.000,P,0,4.018,0.141,5,,,,,,,,,,,
BLVR,22.000,227.000,P,0,4.788,0.158,5,,,,,,,,,,,
GOLJ,22.000,86.000,P,0,4.658,-0.087,5,,,,,,,,,,,
NMVR,25.000,246.000,P,0,5.258,0.027,5,,,,,,,,,,,
AZGN,28.000,302.000,P,0,5.578,-0.127,5,,,,,,,,,,,
MGSL,33.000,245.000,P,0,6.618,0.054,5,,,,,,,,,,,
KRNG,38.000,277.000,P,0,7.258,-0.120,5,,,,,,,,,,,
GRVN,47.000,251.000,P,4,0.268,-8.606,5,,,,,,,,,,,
,,,,,,,5,2012-08-14 13:58:41.272,38.395,46.675,3.611,2.000,12.000,6.000,89.000,0.100,0.224,-0.100
ZANG,4.000,117.000,P,0,3.584,-0.381,6,,,,,,,,,,,
ORNG,9.000,302.000,P,0,4.114,-0.003,6,,,,,,,,,,,
VRZ1,11.000,56.000,P,0,4.474,0.140,6,,,,,,,,,,,
HIGH,15.000,143.000,P,0,4.564,-0.165,6,,,,,,,,,,,
AZGN,18.000,301.000,P,0,4.994,0.016,6,,,,,,,,,,,
SRND,21.000,137.000,P,0,5.484,0.095,6,,,,,,,,,,,
KVCH,21.000,128.000,P,0,5.534,0.058,6,,,,,,,,,,,
NMVR,22.000,221.000,P,0,5.614,0.129,6,,,,,,,,,,,
BLVR,22.000,200.000,P,0,5.724,0.206,6,,,,,,,,,,,
HRS ,28.000,238.000,P,0,6.054,-0.295,6,,,,,,,,,,,
MGSL,29.000,227.000,P,0,6.674,0.165,6,,,,,,,,,,,
KRNG,29.000,268.000,P,0,6.574,0.103,6,,,,,,,,,,,
GOLJ,31.000,98.000,P,0,6.934,0.079,6,,,,,,,,,,,
GRVN,41.000,240.000,P,4,0.214,-8.139,6,,,,,,,,,,,
TABZ,58.000,138.000,P,4,11.834,0.816,6,,,,,,,,,,,
TBZ ,60.000,113.000,P,0,11.204,-0.005,6,,,,,,,,,,,
BST ,84.000,187.000,P,0,14.964,-0.114,6,,,,,,,,,,,
,,,,,,,6,2012-08-14 14:02:25.366,38.448,46.774,19.293,4.900,17.000,4.000,114.000,0.180,0.100,-0.100
HIGH,5.000,200.000,P,0,1.649,-0.043,7,,,,,,,,,,,
KVCH,9.000,135.000,P,0,2.279,0.024,7,,,,,,,,,,,
ZANG,9.000,305.000,P,0,2.179,-0.080,7,,,,,,,,,,,
SRND,9.000,158.000,P,0,2.399,0.087,7,,,,,,,,,,,
VRZ1,13.000,353.000,P,0,3.059,-0.024,7,,,,,,,,,,,
FRMZ,17.000,30.000,P,0,3.879,0.084,7,,,,,,,,,,,
GOLJ,20.000,82.000,P,0,4.309,-0.050,7,,,,,,,,,,,
ORNG,22.000,302.000,P,0,4.709,0.148,7,,,,,,,,,,,
BLVR,23.000,233.000,P,0,5.169,0.364,7,,,,,,,,,,,
NMVR,27.000,250.000,P,0,5.629,0.125,7,,,,,,,,,,,
VRDN,30.000,282.000,P,0,5.909,0.029,7,,,,,,,,,,,
AZGN,31.000,301.000,P,0,6.029,-0.081,7,,,,,,,,,,,
MGSL,35.000,248.000,P,0,6.929,0.096,7,,,,,,,,,,,
HRS ,35.000,258.000,P,0,6.539,-0.414,7,,,,,,,,,,,
TABZ,46.000,142.000,P,4,9.609,0.918,7,,,,,,,,,,,
TBZ ,47.000,111.000,P,0,8.809,-0.011,7,,,,,,,,,,,
BST ,79.000,195.000,P,0,14.049,-0.259,7,,,,,,,,,,,
,,,,,,,7,2012-08-14 15:48:20.071,38.386,46.649,3.698,3.700,17.000,5.000,52.000,0.180,0.200,-0.100
ZANG,8.000,299.000,P,0,1.974,-0.116,8,,,,,,,,,,,
KVCH,10.000,139.000,P,0,2.414,-0.084,8,,,,,,,,,,,
SRND,10.000,158.000,P,0,2.544,-0.023,8,,,,,,,,,,,
FRMZ,16.000,34.000,P,0,3.764,0.141,8,,,,,,,,,,,
GOLJ,21.000,86.000,P,0,4.364,-0.033,8,,,,,,,,,,,
ORNG,21.000,300.000,P,0,4.434,0.086,8,,,,,,,,,,,
BLVR,24.000,230.000,P,0,5.004,0.144,8,,,,,,,,,,,
NMVR,27.000,247.000,P,0,5.464,-0.016,8,,,,,,,,,,,
VRDN,29.000,279.000,P,0,5.624,-0.105,8,,,,,,,,,,,
AZGN,30.000,300.000,P,4,41.644,-24.254,8,,,,,,,,,,,
MGSL,35.000,246.000,P,0,6.914,0.101,8,,,,,,,,,,,
KRNG,40.000,277.000,P,4,7.454,-0.173,8,,,,,,,,,,,
,,,,,,,8,2012-08-14 17:05:17.906,38.397,46.655,4.004,1.900,12.000,8.000,93.000,0.110,0.200,-0.100
ZANG,3.000,57.000,P,0,2.569,-0.197,9,,,,,,,,,,,
ORNG,12.000,313.000,P,0,3.649,0.190,9,,,,,,,,,,,
SRND,17.000,132.000,P,0,4.219,0.020,9,,,,,,,,,,,
KVCH,18.000,121.000,P,0,4.339,-0.000,9,,,,,,,,,,,
VRDN,20.000,278.000,P,0,4.509,0.064,9,,,,,,,,,,,
BLVR,19.000,207.000,P,0,4.679,0.226,9,,,,,,,,,,,
NMVR,20.000,231.000,P,0,4.709,0.108,9,,,,,,,,,,,
FRMZ,22.000,57.000,P,0,4.849,0.035,9,,,,,,,,,,,
HRS ,27.000,246.000,P,0,5.269,-0.458,9,,,,,,,,,,,
MGSL,28.000,235.000,P,0,5.839,0.039,9,,,,,,,,,,,
GOLJ,30.000,91.000,P,0,6.069,-0.037,9,,,,,,,,,,,
KRNG,31.000,275.000,P,0,6.209,0.010,9,,,,,,,,,,,
,,,,,,,9,2012-08-14 17:19:59.021,38.415,46.759,12.312,2.000,12.000,3.000,103.000,0.180,0.200,0.100
ZANG,1.000,48.000,P,0,2.407,-0.188,10,,,,,,,,,,,
ORNG,13.000,305.000,P,0,3.697,0.221,10,,,,,,,,,,,
SRND,17.000,138.000,P,0,4.077,0.024,10,,,,,,,,,,,
KVCH,17.000,127.000,P,0,4.157,0.013,10,,,,,,,,,,,
FRMZ,20.000,57.000,P,0,4.557,0.092,10,,,,,,,,,,,
BLVR,21.000,210.000,P,0,4.827,0.183,10,,,,,,,,,,,
VRDN,21.000,275.000,P,0,4.687,0.053,10,,,,,,,,,,,
AZGN,22.000,303.000,P,0,4.727,-0.044,10,,,,,,,,,,,
NMVR,22.000,232.000,P,0,4.957,0.114,10,,,,,,,,,,,
GOLJ,28.000,93.000,P,0,5.697,-0.099,10,,,,,,,,,,,
